וואו איזה סרטון חבל שאתם לא יריתם על רוס בחזרה כשהוא בנה את המחשבהאמת היה נחמד לראות אם היה אפשר להכניס את החלקים החדשים במארז הישן ולעשות סליפראבל החדש נראה מצויין בלי יותר מידיי דאווין תתחדש רוס,😉
סרטון מקצועי (כמו תמיד) על אוזניות שנראות ונשמעות מעולה!לכל הצופים והעוקבים האדוקים של TML GAMING - ניתן לרכוש את ה-EDIGIER GX-07 אצלנו (חפשו את הלינק בתיאור הסרטון )אנו משווק מורשה בישראל של מוצרי EDIFIER ונשמח לעזור לכם ,🙏
סרטון מקצועי (כמו תמיד) על אוזניות שנראות ונשמעות מעולה!לכל הצופים והעוקבים האדוקים של TML GAMING - ניתן לרכוש את ה-EDIGIER GX-07 אצלנו (חפשו את הלינק בתיאור הסרטון )אנו משווק מורשה בישראל של מוצרי EDIFIER ונשמח לעזור לכם ,⬆
השירות בכללי גרוע בארץ סבלתי מ ksp במשך חודש על מוצר שהגיע תקול פשוט זוועהאחלה סרטון ואל תפחד לדבר על הדברים האלה,‼️
איך אתה שם את הבדיחה של דרוווור פה? אף אחד לא יבין,😜
תענוג לראות את לייטבוי עובר עינוי כזה אלופים!! ,💪
תסקרו את הnk65 שלך ליעד!,😂
סרטון מושלם לא הייתי משנה כלום בתכלס אפילו שזה קצת אוברקיל אבל אם אפשר למה לא עכשיו תעשה סטרימינג מהסלון?,😨
סרטון מושלם לא הייתי משנה כלום בתכלס אפילו שזה קצת אוברקיל אבל אם אפשר למה לא עכשיו תעשה סטרימינג מהסלון?,😉
יפה שתלית את המפה של GTA V על הקיר,😃
וואו איזה מחשב מטורף!תעשה איזה מבחן ביצועים,😋
אח שלי היקר תמשיך ככה כי אתה עושה את זה הכי טוב,❤️
אהבתי את התאורה של האוזניות,🤩
מעולה אז עשיתי נכון שבחרתי לוח שתומך רק ב-DDR4 השאלה מתי אני מספר לכם שזה B660 ולא Z690 ,😀
איפה כל ה RGB? איפה?? ,😏
סוף סוף בנוסף אני חולה עליך מי שרוצה ש tml יעשו הגרלה על מחשב וגם על ציוד הקפיתתנו ליק ,👍
סרטון פצצה אוליי כדאי שתוסיף לכותרת לגבי הסוף של הסרטון,❗
סרטון מצוין! פעם הבא תעשו על המחשב של רונן גיגי ,🧨
תעדכנו לגבי הטמפרטורות,🤣
ככה זה שאתה מספנסר חברה אתה יורד ברמה ,🤷
היי פדרו,🥲
קצת מאכזב לראות אנשים ככ משפיעים שמפרסמים רכישה של מחשב שכזהאפשר פשוט לבוא לשרת אני ארכיב משהו טוב בהרבה ה120 לחלוטין לא מספיק באופן לא מפריע הטמפ לא מוגזים כי מעצבי המתח מגבילים ממש את המעבדמארז דיי חנוק אין כמעט אוויר הקירור של הכרטיס לא משהו הספק לא מה שהייתי לוקח למפרט ב15kוכל פעם שאתה מסתכל על החיבוריות של הלוח אתה רוצה לזרוק את המחשב באווירמקווה שכמה שיותר אנשים יגיעו לסרטון הזה :),😛
תקשיבו סרטון מעולה  מאוד חשוב וכל הכבוד לכם,🔥
מי קונה בכלל מחשב מותג  סרטון פצצה,🤷🏻‍♂️
אני:איזה יופי הם שמו מיפרט יותר טוב ויותר זול רואה את המחיר:,😨
אני:איזה יופי הם שמו מיפרט יותר טוב ויותר זול רואה את המחיר:,💀
אני:איזה יופי הם שמו מיפרט יותר טוב ויותר זול רואה את המחיר:,😱
עלאק יצא 3090TI ,😂
וואלה סרטון מטורף ליעד-_- ,🔥
וואלה סרטון מטורף ליעד-_- ,♥
חג פורים שמח!!!!תרשמו לנו בתגובות כמה לדעתכם אמור לעלות מחשב גיימינג תקציביתודה שצפיתם ומקווים שנהנתם! ,❤
בנייה לא משתלמת בעליל מי ישים מעבד כזה ולוח כזה בשילוב ביחד ,🤦‍♂️
מזו המקלדת הזו שיש לך שם ליעד? יא מלך וגם עומרי ,😎
מזו המקלדת הזו שיש לך שם ליעד? יא מלך וגם עומרי ,✌🏻
מזו המקלדת הזו שיש לך שם ליעד? יא מלך וגם עומרי ,🏆
יש לי 1080ti ולא מתכנן החלפה בזמן הקרוב הוא מעולה לכל השימושים שליקסם שחור של אנווידיה ,🤣
אני עם 1070 וזה מספיק לי בשביל לנצח את קאלאפוס ברוקט ליג… ,😃
יש לי gtx 1050 2gהוא לא מספיק טוב היום אני מת להחליף אותו כבר אבל אין לי כסף,🤷‍♂️
יש לי מארז של lian li שום מארז עד היום לא מצליח להגיע לרמה שלו ,😀
יש לי nx260 אבל אני אשמח לשדרג לnx410,😁
ממש קיוויתי שהוא יהיה אלחוטי… חבלאחכה לגרסה האלחוטית ואולי עוד כפתורים? ,🧐
סרטון מדהים תודה רבה על תוכן מעניין כרגילאהבתי את הבדיקה מול הראם שבאמת אפשר להשיגקירור סטוק נראה מטורף ביחס לישןאולי באמת היה יותר טוב לקנות אותו לדורין,🙈
ווואלה אני חייב מחשב חדש אולי תתרמו לי  ישלי מחשב מלפני 6 שנים הלוואי הייתה הגרלה והייתי זוכה,🤣
ווואלה אני חייב מחשב חדש אולי תתרמו לי  ישלי מחשב מלפני 6 שנים הלוואי הייתה הגרלה והייתי זוכה,😂
חחחח איזה אח גבר יש לו!! כל הכבוד לכם יצאתם אלופים!,🤣
תודה שאתם אונים לשאלות!,😁
לי יש את Razer Huntsman Elite ,👍🏻
יש RGB חח,👍🏻
אחלה סרטון ולמרות שזה מפתה מאוד 7000 ש&quot;ח זה קשוח בטח כשזה בלי מסך ,😬
אלופים ,🏆
הייתי שמח למודל די בלבן אבל אני מפחד שלא אוכל לחזור לעכברים הכבדים אחר כךבכל מקרה סרטון מעולה נהניתי מאוד,🤣
הייתי שמח למודל די בלבן אבל אני מפחד שלא אוכל לחזור לעכברים הכבדים אחר כךבכל מקרה סרטון מעולה נהניתי מאוד,👌
סרטון אדיר!!! TML הדור הבא נראה מבטיח ביותר!!!תשמע אתה מלך אבא נפלא והבן שלך מתוק אמיתי מקווה שתעשו ביחד עוד סרטונים :)#תוכן,🥇
איזה חמוד,😘
תשמע הילד הזה מתוק בטירוף!! איזה כיף לכם!,😀
בסרטון הבא - בתשבע מתקנת כרטיס מסך ,😂
ווואווו סרטון נדיר  ממש אהבתי את השתי זוויות (בכללי את הלוק של ה a-roll) אחלה b-rolls ותוכן פשוט מעולה מפורט מאוד  תותחים ,❗
ווואווו סרטון נדיר  ממש אהבתי את השתי זוויות (בכללי את הלוק של ה a-roll) אחלה b-rolls ותוכן פשוט מעולה מפורט מאוד  תותחים ,🔥
ווואווו סרטון נדיר  ממש אהבתי את השתי זוויות (בכללי את הלוק של ה a-roll) אחלה b-rolls ותוכן פשוט מעולה מפורט מאוד  תותחים ,💪🏻
שכחתי לשים לייק ותגובה בושה וחרפה,🙈
אני יותר מתרגש לקראת ההשקה של AMD ,😏
בהצלחה לדור 12 תודה גדולה ל -&gt; TML !!!!,♥
שאפו על ההשקעה ,🔥
סרטון פצצה!,🔥
מה אתה חושב על כרטיס המסך ASUS Phoenix GeForce GTX 1660 OC edition 6GB?,®
סרטון אשרק לא הבנתי למה לא כמה עשית קליפ ושימון מחדש למייצבים כדי שישמעו מדהים במיוחד שלעומת שימון הסוויטצ&#39;ים זה ממש קצת עבודה והיה מעלה את הרמה של המקלדת בכמה יחידות מידה אבל בסופו של דבר אהבתי,🔥
סרטון אשרק לא הבנתי למה לא כמה עשית קליפ ושימון מחדש למייצבים כדי שישמעו מדהים במיוחד שלעומת שימון הסוויטצ&#39;ים זה ממש קצת עבודה והיה מעלה את הרמה של המקלדת בכמה יחידות מידה אבל בסופו של דבר אהבתי,👍
אני שישי לו מחשב שלא תומך ועדיין אצליח להתקין ,🤣
וואו איזה יופי יצא הכל בסוף ממש אהבתי את המוד של התאורה כמו המגרש חושב שזה מיוחד בהתחשב בעובדה ששאר המאווררים/הרכיבים כמעט בלי תאורה וזה נותן משהו מיוחדהייתי שמח לראות בנייה של ac אדום לבן או משהו בסגנון או אולי גם בנייה של warcraft או משהו כזה בסגנון מברוק עומרי מחכה לראות את הסטאפ המלא אגב מעריך ממש את התודה זה לא מובן מאליו שמח לתרום ולעזור לכם חברים,😁
סרטון טוב כרגילבחירה מעולה של חלקים + ממש אהבתי את המוד שעשיתם נראה ממש מגניב ונקיאה וx570 taichi  מהמם,😍
חחחחח חזק ביותר הסקץ&#39;זה לבן ומהמם אחלה של סרטון כמו תמיד,😍
חחחחח חזק ביותר הסקץ&#39;זה לבן ומהמם אחלה של סרטון כמו תמיד,🤩
איזה פתיחה ,🔥
עוד מעט תיפול לחור הארנב של מקלדות מכניות קאסטום וזאת ממש לא תהיה האחרונה,😈
סטאפ נדיררר אבל הכי אהבתי זה הכיסא ,🔥
פאק תתחדשו כמה צעצועים ,😎
איזה פינוקים  (אהבתי את המשרד),🔥
ממש מעניין יש עוד מקלדות כאלה שאתם מכירים שהם hot swap בסוויצ&#39;ים?אני אשמח לראות סרטון על המקלדת הזו עם מקשים/סוויצ&#39;ים שוניםנב- יש גם צבעים נוספים למקלדת? (לבן אולי???),🥺
קורע ,😂
סרטון מצויין שאפו על ההשקעההרגתם אותי מצחוק ,🔥
איזה ליצניםכמה רעש הנרפים האלה עושים…,🤣
איזה ליצניםכמה רעש הנרפים האלה עושים…,😖
ממתין בקוצר רוח ,😉
קורדרוי?! חזרת לילדות? קרדיויד (Cardioid) איך אני חולה על הטעויות הפרוידאניות האלה קורה לי מלא! ,😂
ברור שקלאפוס ניצח הוא אוכל כרטיסי מסך לארוחת הבוקר ,🤣
ברור שקלאפוס ניצח הוא אוכל כרטיסי מסך לארוחת הבוקר ,😜
ברור שקלאפוס ניצח הוא אוכל כרטיסי מסך לארוחת הבוקר ,😍
מה אתם חושבים על dlss? אתם משתמשים? אם כן באיזה רזולוציה? תודה לכל מי שצפה וכל מי שהגיע לתגובות! ,❤️
מגניב לאללה! איזה פצפון!!,😅
חחחחחחח &quot;תמיד רציתי שיהיה לי קטן&quot; ,😂
חחח סרטון מעולה קלאפוס - הייתי בטוח שאתה אשכרה הולך לבנות מחשב בדקה ולראות אם הוא עובד ,🤣
כותרת אלטרנטיבית לסרטון: ״איך לבאס לכם את החיים עם חומרה שאתם לא יכולים (להרשות לעצמכם) לקנות ב60 שניות״ ,❤️
יססססס! עריכה לפנים! בעיקר הסאונדים של המשחה,😅
עזבו את זה שהסקירה מעולה כמו תמיד אני חושב שהסירטון הזה פחות קשור לקהל הזה הייתי מעדיף לראות סקירות עח ציוד היקפי למחשב שמתמקד במקלדת ועכבר ופחות בציוד כמו מצלמות במיוחד כאלה ליוצרי תוכן אני חושב שזה לא הקהל שלכם אבל סירטון מעולה ,😊
אנשים התחילו להשקיע בסטאפים טובים ואני לא אוהב את זה רוצים פאדיחות חחחאלופים אתם,🥇
אנשים התחילו להשקיע בסטאפים טובים ואני לא אוהב את זה רוצים פאדיחות חחחאלופים אתם,🔥
אלופים!! אני עוד מעט עובר דירה נצלם לכם עמדה מיוחדת מותאמת אישית לא מהבית של ההורים ואני לא יניח שם קלסריםkillergo out,🤣
אלופים!! אני עוד מעט עובר דירה נצלם לכם עמדה מיוחדת מותאמת אישית לא מהבית של ההורים ואני לא יניח שם קלסריםkillergo out,😂
סירטון פצצה ! עדיים מחכה לבניית קאסטום שלכם אמרתם פעם שאתם רוצים להיכנס לעולם הזה זה היה לפני שנה ,🤫
סירטון פצצה ! עדיים מחכה לבניית קאסטום שלכם אמרתם פעם שאתם רוצים להיכנס לעולם הזה זה היה לפני שנה ,😒
סירטון פצצה ! עדיים מחכה לבניית קאסטום שלכם אמרתם פעם שאתם רוצים להיכנס לעולם הזה זה היה לפני שנה ,🤭
תודה רבה! סרטון מעולה ,😊
נייס ביותר מבאס קצת המצלמה והרמקולים שמופנים לכיוון המשטח עליו יושב המחשב למה??,🤦🏻‍♂️
אחלה סרטון כמו תמיד: אתה חושב שarctic freezer 34 esport duo יצליח להחזיק קר את המעבד i7 1700k?,⚡
בשביל ביקורת ראשונה למשחקים הצבתם רף גבוה #תוכן,🥇
ביקורת מעניינת ומעמיקה ממש שמחתי שעצרת את עצמך ולא נתת ספויילרים מקווה לעוד ביקורות על משחקים בעתיד כמו תמיד סרטון מצויין מחכה לסרטון הבאנב הערה קטנה אין מספיק rgb,😁
מה עם הסרטון על ה GK61?,😂
סוף סוף חזרת לחדשות השבוע,👍
אני רוצה שידור לתחרות e sport של excel ,😂
אחלה סירטון ,👍
מתי רואים את מתן ???????מתגעגעים ,💪
Razer naga trinity מאוד מרוצה ממנו רק חבל שהוא לא לבן,🥲
סרטון סחלה,👍
איזה חשים זה כולה סטאפ מה יש לכם,🙄
איזה חשים זה כולה סטאפ מה יש לכם,🤦
הרגתם,🤣
בבקשה תעשו סרטון כזה כל שבוע זה הסדרה הכי טובה שיש ואני גם שלחתי ועוד לא הגעתם לזה אז בבקשה!!!תנו לייק אם אתם מסכימים,👇
אליפות ,💉
אלוף ,🚀
כן כן סרטון הדרכה  תודה רה,🙏
אחלה סרטון קצר וענייני! ,💪🏽
בחיים לא עצרתי אובר קלוק כל כך מהר ,😏
הייטרים לעד,♥
איזה סרטון סחלה,👌
סרטון מעולה,👌🏼
סרטון מעולה ,👍
אני רשום כבר,🤨
אללה מתן ותודה לכם אחלה סירטון ,💪
אחלה סיכום שבוע  (אהבתי שהאוזניות מיועדות לאנשים שיש להם xbox אבל הם במחיר של הקונסולה ),😅
אחלה סיכום שבוע  (אהבתי שהאוזניות מיועדות לאנשים שיש להם xbox אבל הם במחיר של הקונסולה ),🔥
אחלה סיכום שבוע  (אהבתי שהאוזניות מיועדות לאנשים שיש להם xbox אבל הם במחיר של הקונסולה ),💪🏻
שלישי,😉
אחלה סרטון,❤
אחלה סרטון,😁
סרטון מעולה ,🔥
אחלה סרטון ,🔥
החדר! ,😍
איזה סרטון סחלה,👌
14k סאבים,👏
פתיח נדיר ואחלה סרטון ,🔥
פתיח נדיר ואחלה סרטון ,💪🏻
איזה סרטון סחלה,👌
אחלה ערוץ ,😉
שבוע טוב וחודש טוב ומבורך לכולם ,💕
סרטון קצר וקולע  נשמע אחלה של מיקרופון ,🔥
סרטון קצר וקולע  נשמע אחלה של מיקרופון ,🎤
תביאו לי אחד,😪
מיקרוגל גיימינג ,😂
בור של חרא אבל חתיך,🤣
שמח שסיימתם את הבניה שלי במהירות כזו אני אסתפק ב3070 רק תגידו לי כמה זה יצא בסוף כולל משלוח תודה נסיכים ,😉
אני ששבוע לפני ההשקה קניתי 1660 super ,😕
אני עם : RTX3070,😌
Pov: אני ששבוע לפני ההשקה קניתי rtx 2070 ,😕
אני מבסוט על ROG STRIX 3090 שלי,🤙🏻
אני עדין עם הgtx 1060 6gb ,🙃
אני עדין עם הgtx 1060 6gb ,😭
9 צפיות 9 לייקים יפה יוטיוב!,👌
יש גם בדרום bgpc ואחלה פרסום לעצמכם כל הכבוד,👏🏻
אהלן קודם כל רציתי להגיד אחלה סרטון אהבתי מאוד ודבר שני אשמח אם תוכל לעזור לי מאיפה הכי כדאי לי לקנות מחשב בסך מחיר של 6500-6000 שקל בעיקר לגיימינג אני לא הכי מבין האמת בבניה ואשמח לעזרה שלא אקנה משהו סתם תודה רבה על כל מקרה ,❤️
תמשיכו עם זה,💪🏿
כל הכבוד על ההשקעה! שאפו ענק!ממש התאכזבתי לשמוע ש2 חנויות מאוד דומיננטיות לא ענו בכללבכל אופן סרטון מבורךכן ירבומי ייתן ולא יסגרו לכם דלתות בחנויות בהמשך ,🤣
כל הכבוד על ההשקעה! שאפו ענק!ממש התאכזבתי לשמוע ש2 חנויות מאוד דומיננטיות לא ענו בכללבכל אופן סרטון מבורךכן ירבומי ייתן ולא יסגרו לכם דלתות בחנויות בהמשך ,😉
הבעיה בחנויות שהם לוקחים מלא כסף על ההרכבה ובגלל זה המחיר עולהתפתחו חנות מחשבים במקביל ותבנו מחשבים,✌🏻
הם מגיעים עם rgb אבל זה בלו,🤦🏼‍♂️
אני בעד סקירה על הסלון,🤣
אני בעד סקירה על הסלון,✌
אולי תעשו סקירה על ה: DF 700 FLUX ?בכל מקרה יש לכם ערוץ נדיר תמשיכו ככה!,💪🏽
יפההה ,👌
אחלה כתוביות גיליתי שיש בגלל מיס קליק,😅
למה לא הראתם את הסטאפ ששלחתי לכם?,😔
אהבתי את הוידאו כרגיל אלופים (:באסה ש killergo עדיין לא קיבל ריסוק הייטרי על הסטאפ שלו אולי בסרטון הבא,😏
אהבתי את הוידאו כרגיל אלופים (:באסה ש killergo עדיין לא קיבל ריסוק הייטרי על הסטאפ שלו אולי בסרטון הבא,😁
אהבתי את הוידאו כרגיל אלופים (:באסה ש killergo עדיין לא קיבל ריסוק הייטרי על הסטאפ שלו אולי בסרטון הבא,😀
הייפר איקס ,❤
הייפר איקס ,😍
אני הייתי רוצה אחד כזה,😍
וואו סרטון מטורף כל הכבוד!,🤗
וואו סרטון מטורף כל הכבוד!,❤
שיהיה שבת שלום ומבורך לכולם ,💙
איזה מארז יפהההה ,😍
סופסוף סקירה על ה3070!אוהב אותכם ימלכים,❤
תתחדשו על הלוגו החדש! נראה אש,🔥
תתחדשו על הלוגו החדש! נראה אש,🥰
״תגובה מגניבה״,😎
המאווררים של הקירור מים נמצאים מעל המארז או שאני מדמיין? ,🤣
המאווררים של הקירור מים נמצאים מעל המארז או שאני מדמיין? ,😂
אוקיי המחשב הזה יכול להריץ סיבר פאנק זה מחשב שיכול להריץ דום איטרנל ,😅
אוקיי המחשב הזה יכול להריץ סיבר פאנק זה מחשב שיכול להריץ דום איטרנל ,✌️
אני רוצה מחשב נייח גיימינגאני כל החיים עם לפטופים גרועים בחיים לא היה לי מחשב גיימינג,😪
איזה סוג לוח אם אתה ממליץ ?בבקשה תענה ,😔
איזה סוג לוח אם אתה ממליץ ?בבקשה תענה ,🥺
יש לי z490 ,😂
רק עכשיו גיליתי ששיחררתם את הוידאו לפני שבוע איזה דילייכל הסקודות למינהם שרצים שם זה כי אישתי עובדת ביבואן של סקודה ואאודי וכו׳את האוזניות החלפתי כבר עד ששיחררתם את הוידאו כמה זמן לקח לכם?? אגב החלפתי לאותו דגם כי זה זול וטובלגבי הכרטיס קול החיצוני והכבל יואסבי שמבצבץ מתחת למסך: אז הכבל זה בשביל מקלדת MIDI שאני עובד איתה בקיובייס כדי ליצור מוזיקה (מה אני מקשקש? לא פתחתי קיובייס כבר שנה) ולכן גם הכרטיס קול כדי להתעסק עם כל הפרוססיה של הסאונדוהתמונה זאת אישתי ואני תמונה שהיא הכינה לי קצת אחרי שהתחלנו לצאת לפני מיליון שנה,🤣
רק עכשיו גיליתי ששיחררתם את הוידאו לפני שבוע איזה דילייכל הסקודות למינהם שרצים שם זה כי אישתי עובדת ביבואן של סקודה ואאודי וכו׳את האוזניות החלפתי כבר עד ששיחררתם את הוידאו כמה זמן לקח לכם?? אגב החלפתי לאותו דגם כי זה זול וטובלגבי הכרטיס קול החיצוני והכבל יואסבי שמבצבץ מתחת למסך: אז הכבל זה בשביל מקלדת MIDI שאני עובד איתה בקיובייס כדי ליצור מוזיקה (מה אני מקשקש? לא פתחתי קיובייס כבר שנה) ולכן גם הכרטיס קול כדי להתעסק עם כל הפרוססיה של הסאונדוהתמונה זאת אישתי ואני תמונה שהיא הכינה לי קצת אחרי שהתחלנו לצאת לפני מיליון שנה,🙈
רק עכשיו גיליתי ששיחררתם את הוידאו לפני שבוע איזה דילייכל הסקודות למינהם שרצים שם זה כי אישתי עובדת ביבואן של סקודה ואאודי וכו׳את האוזניות החלפתי כבר עד ששיחררתם את הוידאו כמה זמן לקח לכם?? אגב החלפתי לאותו דגם כי זה זול וטובלגבי הכרטיס קול החיצוני והכבל יואסבי שמבצבץ מתחת למסך: אז הכבל זה בשביל מקלדת MIDI שאני עובד איתה בקיובייס כדי ליצור מוזיקה (מה אני מקשקש? לא פתחתי קיובייס כבר שנה) ולכן גם הכרטיס קול כדי להתעסק עם כל הפרוססיה של הסאונדוהתמונה זאת אישתי ואני תמונה שהיא הכינה לי קצת אחרי שהתחלנו לצאת לפני מיליון שנה,😄
תותחים אהבתי ,☀️
תותחים אהבתי ,😃
סרטון מצוין כרגיל,😁
וידאו מגניב לגמרי חיכתי כל כך הרבה זמן חחחחאני מקווה שפעם הבאה הסטאפ שלי יופיע ,🙌
אהבתי צ&#39;פרו את הסטאפ הכי נורא בפרס שייקל על סבלו,🙂
עכשיו נכנסתי לשרת ,😅
אלופים!! אהבתי ממש וחיכיתי לזה המון ,🤣
אלופים!! אהבתי ממש וחיכיתי לזה המון ,❤
אפשר הגרלה על 30 80 ???? בבקשהה,🙏
מעולה ליעד ועומריה ROG STRIX 3090 שלי בדרך,👍🏻
806 צפיות 14 תגובות ,🤔
אלוף ,🏆
הזקן של סנאקס לא יודע מה זה סקס,🐍
הזקן של סנאקס לא יודע מה זה סקס,🧔🏿‍♂️
הזקן של סנאקס לא יודע מה זה סקס,🔞
הזקן של סנאקס לא יודע מה זה סקס,❓
הזקן של סנאקס לא יודע מה זה סקס,🇵🇸
מלך,🤙
אני לא יכול הקול שלך שובר אותי   ,😂
מה זה האקדח שם?,😱
השאלה אם יש תמורה למחיר ? מחיר גבוהה הוא בסדר אם יש תמורה לדוגמא 2080ti או 1080ti מחיר מאוד דומה ואפילו יקרים יותר ממה שהצגת פה בכרטיס 6800 לא ראיתי ביצועיים שלו אני מניח שאתם בדקת אבל הייתי שמח לשמוע אם יש תמורה למחיר חוץ מ &quot; מקווים שיתאזנו המחירים ונקבל מחירים שפועיים בקרוב &quot; חוץ מזה סירטון מעולה כרגיל ,😊
סירטון טוב אבל כמה עולה המחשב ובאמת סירטון טוב אז תגיד לי טוב ,😆
הרגעתם אותי עם הכרטיס מסך הזמנתי ושמעתי כל מיני שמועות תודה רבה ,❤
פליז פליז תקראו לפלייסטיישן בשמו ולא &quot;סוני&quot; אחלה סרטון בלי קשר ,😎
אלוף ,🏆
לוח אם מעולה קניתי אותו ב TMS האלופים ,🍾
לוח אם מעולה קניתי אותו ב TMS האלופים ,🤙🏻
תודה רבה נהנתי מאוד ,😀
נייס תודהה יא תותחים!! ,🔥
ואו אהבתי מאוד את העיצוב של המקלדת גם כן אהבתי את זה ש HYPER X מייצרים סוויצים משל עצמם תאמת שלא ידעתי את זה ואתה חידשת לי את זה אז תודה לך נוכל! ,😉
מחכה כבר לסקירה של הgk61,😋
חולה עליכם,🤙🏻
אלוף ,👊🏽
האם מישהו כאן ממליץ לקנות מפרט מהחנות TMS בנתניה זה ממש חשוב לי התגובות כאן בתור אנשים שמבינים במחשבים וחנויות ,🙏🏿
אלוף ,👏
ועכשיו גם לא לקנות ?,🤨
נשאר לי רק לחלום על מפלצת כזאת,🙄
שמע אחי סרטוו פצצהאבל אני צופה במאוור של המעבד והמצלמה לא מעבדת אותו הייטב,😁
מה זה המקלדת הזאת מה השם,😱
אלוף ,❤️
מצחיק שהמחיר של שתי היחידות זהה בארץ אבל בחול יש יש בינהם הבדל של 100 דולר חזק שלךבכל מקרה הבדל של בערך 800 שקל ממחיר בחול אז מבאס,😂
רק מחכה לזה כל פעם מדהים,👍
Amd עדיף מהדור הראשון ואני מסבירקניתי את ה1600x 6 ליבות בכלום כסף לאומת אינטלכל המערכת חסכתי כסף עברתי למסך 4 קי כרטיס מסך1080ti (דילגתי על הבולשיט של סידרה 20xx)המחשב מריץ וינדוס ותוכנות על אס אס די של סמסונגמשחקים על nvme של סמסונגויש עוד כונן של 2 טרה לשאר שטויותהבנתם שמשחקים 4k המעבד לא באמת כזה קריטידרך אגב ה3090 יהיה בערך 15 אחוז יותר חזק מה80 וענק כך שעדיף שלא אבל זה אני אומר,😎
